         936424 function calls (912869 primitive calls) in 7.781 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 SSL.py:176(ZeroReturnError)
        1    0.000    0.000    0.000    0.000 SSL.py:180(SysCallError)
        1    0.000    0.000    0.000    0.000 SSL.py:184(_CallbackExceptionHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:212(_VerifyHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:250(_NpnAdvertiseHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:291(_NpnSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:340(_ALPNSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:39(_buffer)
        1    0.000    0.000    0.000    0.000 SSL.py:391(_OCSPServerCallbackHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:463(_OCSPClientCallbackHelper)
        3    0.000    0.000    0.000    0.000 SSL.py:550(_make_requires)
       10    0.000    0.000    0.000    0.000 SSL.py:560(_requires_decorator)
        1    0.000    0.000    0.000    0.000 SSL.py:587(Session)
        1    0.000    0.000    0.000    0.000 SSL.py:591(Context)
        6    0.000    0.000    0.000    0.000 SSL.py:605(<genexpr>)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       69    0.004    0.000   19.162    0.278 __init__.py:1(<module>)
        3    0.000    0.000    0.081    0.027 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:100(<listcomp>)
        1    0.000    0.000    0.043    0.043 __init__.py:100(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(TensorDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:103(set_default_tensor_type)
        1    0.000    0.000    0.263    0.263 __init__.py:106(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:109(<listcomp>)
        1    0.000    0.000    0.056    0.056 __init__.py:109(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(Encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:110(device)
       26    0.000    0.000    0.000    0.000 __init__.py:1107(__init__)
       83    0.000    0.000    0.000    0.000 __init__.py:1113(append)
       58    0.001    0.000    0.005    0.000 __init__.py:1159(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        3    0.000    0.000    0.077    0.026 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:12(AsymmetricSignatureContext)
        1    0.000    0.000    0.000    0.000 __init__.py:12(KeyDerivationFunction)
       58    0.002    0.000    0.002    0.000 __init__.py:1210(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:123(TensorDescriptorArray)
        1    0.000    0.000    0.000    0.000 __init__.py:1230(resource_string)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
        3    0.000    0.000    0.000    0.000 __init__.py:124(__init__)
       58    0.001    0.000    0.001    0.000 __init__.py:1266(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1278(setLevel)
        1    0.000    0.000    0.005    0.005 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(Loop)
        1    0.000    0.000    0.024    0.024 __init__.py:134(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:136(DoubleTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:136(device_of)
        1    0.000    0.000    0.001    0.001 __init__.py:137(EventType)
        2    0.000    0.000    0.000    0.000 __init__.py:14(<listcomp>)
        2    0.000    0.000    1.219    0.610 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:141(FloatTensor)
        4    0.000    0.000    0.000    0.000 __init__.py:1454(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:146(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1464(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1474(get_resource_string)
        4    0.000    0.000    0.037    0.009 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(IntTensor)
        1    0.000    0.000    0.933    0.933 __init__.py:153(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(FilterDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1541(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:156(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:156(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1560(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1564(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1594(_get)
        1    0.000    0.000    0.006    0.006 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:160(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:161(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:164(HalfStorage)
